PJ,LATITUDE,LONGITUDE
PROMOTORIA DE JUSTIÇA DE CASA BRANCA,-21.773520994739524,-47.08220901690008
PROMOTORIA DE JUSTIÇA DE CRAVINHOS,-21.33590052593402,-47.731361647322615
PROMOTORIA DE JUSTIÇA DE DESCALVADO,-21.90374377253778,-47.619210775555146
PROMOTORIA DE JUSTIÇA DE GUARIBA,-21.36085634833667,-48.227840622473664
PROMOTORIA DE JUSTIÇA DE IBATÉ,-21.952593073214796,-48.001440539293185
PROMOTORIA DE JUSTIÇA DE JABOTICABAL,-21.25430758051976,-48.31315723029264
PROMOTORIA DE JUSTIÇA DE JARDINÓPOLIS,-21.018142918443314,-47.764931375700414
PROMOTORIA DE JUSTIÇA DE MATÃO,-21.62023235228547,-48.34608491503702
PROMOTORIA DE JUSTIÇA DE MOCOCA,-21.454231689516586,-47.01040928303819
PROMOTORIA DE JUSTIÇA DE MONTE ALTO,-21.17725248820893,-47.81003426442409
PROMOTORIA DE JUSTIÇA DE MONTE AZUL PAULISTA,-20.904750032509646,-48.63735008267036
PROMOTORIA DE JUSTIÇA DE PIRANGI,-21.0922246878063,-48.6586280979211
PROMOTORIA DE JUSTIÇA DE PIRASSUNUNGA,-21.996461544305927,-47.423345127069524
PROMOTORIA DE JUSTIÇA DE PITANGUEIRAS,-21.009067851169945,-48.213662723343404
PROMOTORIA DE JUSTIÇA DE PONTAL,-21.026365163483646,-48.04095625672622
PROMOTORIA DE JUSTIÇA DE PORTO FERREIRA,-21.854328943586562,-47.48279465966796
PROMOTORIA DE JUSTIÇA DE RIBEIRÃO BONITO,-22.068910166399768,-48.17513218932047
PROMOTORIA DE JUSTIÇA DE RIBEIRÃO PRETO,-21.200899689069864,-47.77019180305947
PROMOTORIA DE JUSTIÇA DE SANTA CRUZ DAS PALMEIRAS,-21.826872788461223,-47.25166056227708
PROMOTORIA DE JUSTIÇA DE SANTA RITA DO PASSA QUATRO,-21.708799923174936,-47.47844848423018
PROMOTORIA DE JUSTIÇA DE SANTA ROSA DE VITERBO,-21.478601839900374,-47.36120958628209
PROMOTORIA DE JUSTIÇA DE SÃO CARLOS - CÍVEL,-22.02039175900852,-47.91227539651021
PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO RIO PARDO,-21.59843536222215,-46.89070037937326
PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO DA GRAMA,-21.711179172452912,-46.8209362216364
PROMOTORIA DE JUSTIÇA DE SÃO SIMÃO,-21.476739856981638,-47.55423482705595
PROMOTORIA DE JUSTIÇA DE SERRANA,-21.20464941636086,-47.603801261056105
PROMOTORIA DE JUSTIÇA DE SERTÃOZINHO,-21.118187372331892,-47.98910881750452
PROMOTORIA DE JUSTIÇA DE TAMBAÚ,-21.70890255568375,-47.27120010463044
PROMOTORIA DE JUSTIÇA DE TAQUARITINGA,-21.41165794875737,-48.501566053323295
PROMOTORIA DE JUSTIÇA DE VIRADOURO,-20.874424683517447,-48.29821115915639
PROMOTORIA DE JUSTIÇA DE BERTIOGA,-23.85366155393976,-46.13934754788898
PROMOTORIA DE JUSTIÇA DE CUBATÃO,-23.884088701824247,-46.41839584239854
PROMOTORIA DE JUSTIÇA DE GUARUJÁ - Cível,-23.995023149825737,-46.254507796870556
PROMOTORIA DE JUSTIÇA DE ITANHAÉM,-24.179194452622884,-46.78088027630226
PROMOTORIA DE JUSTIÇA DE MONGAGUÁ,-24.088662372666477,-46.60898895757866
PROMOTORIA DE JUSTIÇA DE PERUÍBE,-24.319822205578472,-47.00230209158351
PROMOTORIA DE JUSTIÇA DE PRAIA GRANDE,-24.027697183857686,-46.497369467577606
PROMOTORIA DE JUSTIÇA DE SANTOS - CÍVEL,-23.968781551237516,-46.33436196411788
PROMOTORIA DE JUSTIÇA DE SÃO VICENTE,-23.964826153940944,-46.393631974952555
PROMOTORIA DE JUSTIÇA DE AURIFLAMA,-20.68900729751811,-50.55288784682127
PROMOTORIA DE JUSTIÇA DE BARRETOS,-20.564386181037968,-48.58285401613229
PROMOTORIA DE JUSTIÇA DE CARDOSO,-20.077715885313474,-49.912233086073996
PROMOTORIA DE JUSTIÇA DE CATANDUVA,-21.132304536493788,-48.969529752695216
PROMOTORIA DE JUSTIÇA DE COLINA,-20.71478686062842,-48.53151316065619
PROMOTORIA DE JUSTIÇA DE ESTRELA D'OESTE,-20.286595579427786,-50.40094853086611
PROMOTORIA DE JUSTIÇA DE FERNANDÓPOLIS,-20.273717269022335,-50.26028352012418
PROMOTORIA DE JUSTIÇA DE GENERAL SALGADO,-20.64540627234277,-50.37064103574765
PROMOTORIA DE JUSTIÇA DE ITAJOBI,-21.31836582517935,-49.053759533308984
PROMOTORIA DE JUSTIÇA DE JALES,-20.26468850361857,-50.55317253635885
PROMOTORIA DE JUSTIÇA DE JOSÉ BONIFÁCIO,-21.060392181652126,-49.68962286762569
PROMOTORIA DE JUSTIÇA DE MACAUBAL,-20.806891436072938,-49.96062242145133
PROMOTORIA DE JUSTIÇA DE MIRASSOL,-20.822450151442975,-49.50874143306967
PROMOTORIA DE JUSTIÇA DE MONTE APRAZÍVEL,-20.77047123771622,-49.71295757208921
PROMOTORIA DE JUSTIÇA DE NEVES PAULISTA,-20.85156371411905,-49.631010900194056
PROMOTORIA DE JUSTIÇA DE NHANDEARA,-20.695016861573574,-50.04472432311645
PROMOTORIA DE JUSTIÇA DE NOVA GRANADA,-20.534485768225395,-49.319378759460925
PROMOTORIA DE JUSTIÇA DE NOVO HORIZONTE,-21.46428506909386,-49.221301235927164
PROMOTORIA DE JUSTIÇA DE OLÍMPIA,-20.74286026792987,-48.91234334614964
PROMOTORIA DE JUSTIÇA DE OUROESTE,-19.992455226319343,-50.37851620038659
PROMOTORIA DE JUSTIÇA DE PALESTINA,-20.391917762606695,-49.43855761202269
PROMOTORIA DE JUSTIÇA DE PALMEIRA D'OESTE,-20.4171181603373,-50.760948770135855
PROMOTORIA DE JUSTIÇA DE PAULO DE FARIA,-20.032342399490542,-49.40070400019524
PROMOTORIA DE JUSTIÇA DE POTIRENDABA,-21.054062976704113,-49.371251138428676
PROMOTORIA DE JUSTIÇA DE SANTA ADÉLIA,-21.243138259872147,-48.803963439974545
PROMOTORIA DE JUSTIÇA DE SANTA FÉ DO SUL,-20.21010864277576,-50.93814337347864
PROMOTORIA DE JUSTIÇA DE TABAPUÃ,-20.96431877584761,-49.02683008240285
PROMOTORIA DE JUSTIÇA DE TANABI,-20.62275530296191,-49.64566836254104
PROMOTORIA DE JUSTIÇA DE URÂNIA,-20.245495766879568,-50.642980943518
PROMOTORIA DE JUSTIÇA DE URUPÊS,-21.199686136965166,-49.29129329745054
PROMOTORIA DE JUSTIÇA DE VOTUPORANGA,-20.42813283024499,-49.981089485524365
PROMOTORIA DE JUSTIÇA DE ANGATUBA,-23.49285631088156,-48.41390942112891
PROMOTORIA DE JUSTIÇA DE APIAÍ,-24.50988710969541,-48.84266834449202
PROMOTORIA DE JUSTIÇA DE BOITUVA,-23.282878727383576,-47.67330264616461
PROMOTORIA DE JUSTIÇA DE BURI,-23.80207781636137,-48.591403726727805
PROMOTORIA DE JUSTIÇA DE CABREÚVA,-23.250496647425102,-47.05594918319106
PROMOTORIA DE JUSTIÇA DE CAPÃO BONITO,-24.009000269863368,-48.339016679481034
PROMOTORIA DE JUSTIÇA DE CESÁRIO LANGE,-23.226810136133683,-47.953492693697875
PROMOTORIA DE JUSTIÇA DE IBIÚNA,-23.656139053765198,-47.221443137618294
PROMOTORIA DE JUSTIÇA DE ITABERÁ,-23.8605311304702,-49.13797130216017
PROMOTORIA DE JUSTIÇA DE ITAÍ,-23.423858799935577,-49.09118160225809
PROMOTORIA DE JUSTIÇA DE ITAPEVA,-23.986545281614973,-48.879707095992465
PROMOTORIA DE JUSTIÇA DE ITAPORANGA,-23.7090839778931,-49.507108934502
PROMOTORIA DE JUSTIÇA DE ITARARÉ,-24.11367851321054,-49.34092720973902
